Method,Regressor Points,Resampling Points,Neighbours_optimized,Neighbours_validation
Random_neighbours,500,50,0.4114783333333333,0.417
Random_neighbours,500,50,0.6216269047619047,0.612
Random_neighbours,500,50,0.35096,0.512
Random_neighbours,500,50,0.33956,0.432
Random_neighbours,500,50,0.2917716666666667,0.38
Random_neighbours,500,50,0.0918683333333333,0.345
Random_neighbours,500,50,0.6974247619047617,0.5670000000000001
Random_neighbours,500,50,0.4936783333333334,0.447
Random_neighbours,500,50,0.4816257142857143,0.517
Random_neighbours,500,50,0.7187461904761904,0.5695
Random_neighbours,500,50,0.1282216666666666,0.377
Random_neighbours,500,50,0.4714702380952381,0.49
Random_neighbours,500,50,0.4306619047619047,0.41
Random_neighbours,500,50,0.5004757142857142,0.437
Random_neighbours,500,50,0.5285904761904763,0.5111666666666667
Random_neighbours,500,50,0.3441116666666666,0.362
Random_neighbours,500,50,0.5445409523809522,0.477
LimeBased_neighbours,500,50,0.4450516666666667,0.542
LimeBased_neighbours,500,50,0.3595,0.442
LimeBased_neighbours,500,50,0.3093983333333334,0.412
LimeBased_neighbours,500,50,0.3439416666666666,0.407
LimeBased_neighbours,500,50,0.4923483333333335,0.5945
LimeBased_neighbours,500,50,0.5240150000000001,0.5720000000000001
LimeBased_neighbours,500,50,0.5460900000000001,0.5820000000000001
LimeBased_neighbours,500,50,0.4639783333333333,0.5245
LimeBased_neighbours,500,50,0.2703716666666666,0.291
LimeBased_neighbours,500,50,0.5043350000000002,0.557
LimeBased_neighbours,500,50,0.5057266666666667,0.5670000000000001
LimeBased_neighbours,500,50,0.2851933333333334,0.332
LimeBased_neighbours,500,50,0.3419883333333334,0.3834999999999999
LimeBased_neighbours,500,50,0.51219,0.5453333333333333
LimeBased_neighbours,500,50,0.568765,0.612
LimeBased_neighbours,500,50,0.4915850000000001,0.5411666666666667
LimeBased_neighbours,500,50,0.5432666666666669,0.5686666666666667
LimeBased_neighbours,500,50,0.5082783333333333,0.5736666666666667
LimeBased_neighbours,500,50,0.3785466666666666,0.437
LimeBased_neighbours,500,50,0.5522533333333335,0.62
KDE_neighbours,500,50,0.41335,0.5403333333333333
KDE_neighbours,500,50,0.44435,0.5670000000000001
KDE_neighbours,500,50,0.42,0.547
KDE_neighbours,500,50,0.41,0.5920000000000001
KDE_neighbours,500,50,0.4806,0.512
KDE_neighbours,500,50,0.3358,0.357
KDE_neighbours,500,50,0.2185833333333333,0.4002142857142857
KDE_neighbours,500,50,0.4948999999999999,0.5045
KDE_neighbours,500,50,0.4157,0.602
KDE_neighbours,500,50,0.4214,0.457
KDE_neighbours,500,50,0.5582,0.56
KDE_neighbours,500,50,0.2608166666666667,0.447
KDE_neighbours,500,50,0.3058,0.457
KDE_neighbours,500,50,0.5885833333333333,0.5411666666666667
KDE_neighbours,500,50,0.7278999999999999,0.747
KDE_neighbours,500,50,0.3357,0.467
KDE_neighbours,500,50,0.3457,0.497
KDE_neighbours,500,50,0.602,0.5303333333333334
KDE_neighbours,500,50,0.6182,0.5670000000000001
KDE_neighbours,500,50,0.39,0.497
PlugInvalid_neighbours,500,50,0.644,0.3
PlugInvalid_neighbours,500,50,0.6864,0.5203333333333334
PlugInvalid_neighbours,500,50,0.478,0.332
PlugInvalid_neighbours,500,50,0.7384000000000001,0.5411666666666667
PlugInvalid_neighbours,500,50,0.2700000000000001,0.39
PlugInvalid_neighbours,500,50,0.6708000000000002,0.49
PlugInvalid_neighbours,500,50,0.4972000000000001,0.497
PlugInvalid_neighbours,500,50,0.3568000000000001,0.32
PlugInvalid_neighbours,500,50,0.4672,0.455
PlugInvalid_neighbours,500,50,0.2272,0.21
PlugInvalid_neighbours,500,50,0.5456000000000001,0.46
PlugInvalid_neighbours,500,50,0.7364,0.6195
PlugInvalid_neighbours,500,50,0.77,0.5936666666666668
PlugInvalid_neighbours,500,50,0.5304000000000001,0.552
PlugInvalid_neighbours,500,50,0.6352,0.514
PlugInvalid_neighbours,500,50,0.726,0.5961666666666666
PlugInvalid_neighbours,500,50,0.22,0.34
PlugInvalid_neighbours,500,50,0.2740000000000001,0.482
PlugInvalid_neighbours,500,50,0.6476000000000001,0.46
PlugInvalid_neighbours,500,50,0.5820000000000001,0.482
target-20-neighbours,500,50,0.82,0.22
target-20-neighbours,500,50,0.8,0.2
target-20-neighbours,500,50,0.8,0.2
target-20-neighbours,500,50,0.79,0.35
target-20-neighbours,500,50,0.82,0.38
target-20-neighbours,500,50,0.81,0.25
target-20-neighbours,500,50,0.79,0.25
